OidpbxState ,             .1.3.6.1.4.1.637.64.4400.1.2
OidconfAvailable ,        .1.3.6.1.4.1.637.64.4400.1.3.1.2
OidconfBusy ,             .1.3.6.1.4.1.637.64.4400.1.3.1.3
OidconfOutOfOrder ,       .1.3.6.1.4.1.637.64.4400.1.3.1.4
OiddspRessAvailable ,     .1.3.6.1.4.1.637.64.4400.1.3.1.5
OiddspRessBusy ,          .1.3.6.1.4.1.637.64.4400.1.3.1.6
OiddspRessOutOfService ,  .1.3.6.1.4.1.637.64.4400.1.3.1.7
OiddspRessOverrun ,       .1.3.6.1.4.1.637.64.4400.1.3.1.8
OidcacAllowed ,           .1.3.6.1.4.1.637.64.4400.1.3.1.9
OidcacUsed ,              .1.3.6.1.4.1.637.64.4400.1.3.1.10
OidcacOverrun ,           .1.3.6.1.4.1.637.64.4400.1.3.1.11
