OidfoundryL4SLBTotalConnections ,                     .1.3.6.1.4.1.1991.1.1.4.1.4
OidfoundryL4SLBUnsuccessfulConnections ,              .1.3.6.1.4.1.1991.1.1.4.1.25
Oidsnaggblcpuutil5minavg ,                            .1.3.6.1.4.1.1991.1.1.2.1.53.0
Oidsnl4realserverportstatuscurrentconnection ,        .1.3.6.1.4.1.1991.1.1.4.24.1.1.7
Oidsnl4realserverportstatuspeakconnection ,           .1.3.6.1.4.1.1991.1.1.4.24.1.1.13
Oidsnl4realserverportstatusrxbytes ,                  .1.3.6.1.4.1.1991.1.1.4.24.1.1.11
Oidsnl4realserverportstatusrxpkts ,                   .1.3.6.1.4.1.1991.1.1.4.24.1.1.9
Oidsnl4realserverportstatustotalconnection ,          .1.3.6.1.4.1.1991.1.1.4.24.1.1.8
Oidsnl4realserverportstatustxbytes ,                  .1.3.6.1.4.1.1991.1.1.4.24.1.1.12
Oidsnl4realserverportstatustxpkts ,                   .1.3.6.1.4.1.1991.1.1.4.24.1.1.10
Oidsnl4realserverstatisticcurconnections ,            .1.3.6.1.4.1.1991.1.1.4.23.1.1.5
Oidsnl4realserverstatisticreceivepkts ,               .1.3.6.1.4.1.1991.1.1.4.23.1.1.3
Oidsnl4realserverstatistictotalconnections ,          .1.3.6.1.4.1.1991.1.1.4.23.1.1.6
Oidsnl4realserverstatistictransmitpkts ,              .1.3.6.1.4.1.1991.1.1.4.23.1.1.4
Oidsnl4virtualserverportstatisticcurrentconnection ,  .1.3.6.1.4.1.1991.1.1.4.26.1.1.4
Oidsnl4virtualserverportstatistictotalconnection ,    .1.3.6.1.4.1.1991.1.1.4.26.1.1.5
Oidsnl4virtualserverstatisticreceivepkts ,            .1.3.6.1.4.1.1991.1.1.4.25.1.1.3
Oidsnl4virtualserverstatistictotalconnections ,       .1.3.6.1.4.1.1991.1.1.4.25.1.1.5
Oidsnl4virtualserverstatistictransmitpkts ,           .1.3.6.1.4.1.1991.1.1.4.25.1.1.4
