OidhrSystemNumUsers ,   .1.3.6.1.2.1.25.1.5.0
OidhrSystemProcesses ,  .1.3.6.1.2.1.25.1.6.0
OidhrStorageName ,      .1.3.6.1.2.1.25.2.3.1.3
OidhrStorageSize ,      .1.3.6.1.2.1.25.2.3.1.5
OidhrStorageUsed ,      .1.3.6.1.2.1.25.2.3.1.6
Oiducd_load1min ,       .1.3.6.1.4.1.2021.10.1.3.1
Oiducd_load5min ,       .1.3.6.1.4.1.2021.10.1.3.2
Oiducd_load15min ,      .1.3.6.1.4.1.2021.10.1.3.3
Oiducd_memswapAvail ,   .1.3.6.1.4.1.2021.4.4.0
Oiducd_memrealAvail ,   .1.3.6.1.4.1.2021.4.6.0
Oiducd_memtotalAvail ,  .1.3.6.1.4.1.2021.4.11.0
Oiducd_diskfree ,       .1.3.6.1.4.1.2021.9.1.7
Oiducd_diskused ,       .1.3.6.1.4.1.2021.9.1.8
Oiducd_diskpused ,      .1.3.6.1.4.1.2021.9.1.9
Oiducd_cpuUser ,        .1.3.6.1.4.1.2021.11.9.0
Oiducd_cpuSystem ,      .1.3.6.1.4.1.2021.11.10.0
Oiducd_cpuIdle ,        .1.3.6.1.4.1.2021.11.11.0
Oiducd_rawCpuUser ,     .1.3.6.1.4.1.2021.11.50.0
Oiducd_rawCpuNice ,     .1.3.6.1.4.1.2021.11.51.0
Oiducd_rawCpuSystem ,   .1.3.6.1.4.1.2021.11.52.0
Oiducd_rawCpuIdle ,     .1.3.6.1.4.1.2021.11.53.0
Oiducd_diskIODevice ,   .1.3.6.1.4.1.2021.13.15.1.1.2
Oiducd_diskIONRead ,    .1.3.6.1.4.1.2021.13.15.1.1.3
Oiducd_diskIONWrite ,   .1.3.6.1.4.1.2021.13.15.1.1.4
Oiducd_diskIOReads ,    .1.3.6.1.4.1.2021.13.15.1.1.5
Oiducd_diskIOWrites ,   .1.3.6.1.4.1.2021.13.15.1.1.6
